d	10000
l	9944
s	9940
m	9861
wi	9735
w	9694
cy	9675
po	9566
r	9455
re	9444
n	9444
g	9353
h	9340
	9291
c	9285
ll	9159
referenc	8968
e	8957
le	8753
p	8711
i	8675
quot	8675
st	8642
lk	8396
wn	8370
1	8316
us	8212
fr	8140
y	8113
2	8088
t	8041
externl	8001
se	7927
two	7916
f	7891
hd	7884
ir	7777
pt	7736
first	7670
3	7632
u	7629
lt	7478
de	7475
prt	7443
v	7428
http	7392
sry	7338
ti	7331
j	7295
ce	7234
un	7225
yer	7217
b	7207
nl	7167
pl	7164
4	7158
5	7144
mi	7130
es	7099
hve	7042
ld	6915
lg	6881
www	6776
10	6704
ne	6661
6	6644
see	6621
peopl	6596
0	6586
7	6420
8	6370
kn	6281
eric	6279
ge	6217
ten	6192
2010	6181
cludg	6177
9	6152
ste	6132
br	6132
mr	6122
k	6114
dy	6108
ree	6073
sl	6031
rt	5986
rough	5984
ru	5926
12	5920
bo	5897
20	5858
id	5776
wld	5714
cs	5708
wle	5679
wr	5652
cll	5649
2011	5633
11	5620
erli	5594
